label	area	season	lat	lon	asurv	sst	sstdif	sbt	sbtdif	ult	ultdif	npp	aswept	density	nsp	depth	mesh	vertop	horop	towsp	lnLsp	lnLind	nhauls	
Adriatic-Su-16	"Adriatic 16-449m"	Summer	43.86	15.74	54363	17.90	10.81	13.46	0.73	15.05	4.14	224	30.8	13073	114	232.5	20	2.3	16.5	3	3.84	3.63	657	
Alboran_Sea-Su-200	"Alboran Sea 200-810m"	Summer	36.75	-3.00	8812	18.30	7.17	13.10	-0.04	15.20	1.61	402	27.1	5804	73	505	20	3	19.4	3	3.76	3.50	251	
Alboran_Sea-Su-30	"Alboran Sea 30-200m"	Summer	36.75	-3.00	2247	18.40	7.57	13.20	-0.04	15.22	1.76	402	7.7	58514	130	115	20	3	16.4	3	3.64	3.48	169	 
Alicante_and_Eivissa-Su-200	"Alicante & Eivissa 200-788m"	Summer	38.55	0.00	5065	19.10	10.87	13.22	-0.03	15.32	2.99	209	16.2	7518	71	494	20	3	19.5	3	3.81	3.65	150	
Alicante_and_Eivissa-Su-30	"Alicante & Eivissa 30-200m"	Summer	38.55	0.00	5620	19.10	11.27	13.67	0.20	15.88	4.09	209	9.8	40656	126	115	20	3	16.4	3	3.73	3.65	215	
Bay_of_Biscay-Au-28	"Bay of Biscay 28-100m"	Autumn	45.84	-4.58	26316	14.70	8.18	11.97	0.79	13.18	3.96	520	36.9	205741	107	64	20	4	20.5	4	3.99	3.96	486	
Bear_Island-Au-36	"Bear Island 36-830m"	Autumn	76.98	18.73	258318	1.50	3.14	1.27	0.38	1.35	1.81	117	214.1	4660	56	433	16	7	25	3.4	3.80	4.26	1576	
Celtic_Sea-Au-65	"Celtic Sea 65-524m"	Autumn	49.90	-8.19	141601	12.90	6.00	10.57	0.34	11.50	2.52	317	37.8	70471	87	294.5	20	4.1	18.7	4	4.06	3.92	545	
Davis_Strait-Au-400	"Davis Strait 400-1500m"	Autumn	64.23	-54.73	52602	1.60	4.96	3.84	-0.29	1.88	1.65	114	42.3	1934	33	950	30	5	28	3	4.12	4.42	591	
E_Greenl_GDR-Au-200	"E Greenland 200-400m"	Autumn	62.75	-36.75	56488	4.20	1.47	4.68	0.08	4.61	0.72	112	97.8	3286	37	300	30	4	22	4.5	4.01	4.58	1069	
E_Greenl_GDR-Au-50	"E Greenland 50-200m"	Autumn	62.75	-36.75	17576	3.30	1.08	4.28	0.20	3.77	0.51	112	33.5	10369	37	125	30	4	22	4.5	3.96	4.38	366	
E_Greenland-Su-400	"E Greenland 400-1500m"	Summer	64.23	-35.75	43458	4.50	2.01	3.95	-0.07	4.86	1.06	112	34.5	1082	39	950	30	5	28	3	4.06	4.47	476	
Far_NE-Sp-200	"Faroe Islands NE Feb 200-500m"	Spring	61.67	-5.50	16393	8.70	3.53	5.52	0.44	8.14	2.25	215	27.5	29712	35	350	40	4	17.5	3	4.51	3.83	283	
Far_NE-Su-200	"Faroe Islands NE Aug 200-500m"	Summer	61.67	-5.50	16393	8.70	3.53	5.52	0.44	8.14	2.25	215	56.7	36847	53	350	40	4	17.5	3	4.27	3.81	585	
Far_Pla-Sp-65	"Faroe Plateau Feb 65-200m"	Spring	61.73	-6.67	18178	8.70	3.17	7.63	1.29	8.33	2.35	197	92.8	13825	36	132.5	40	4	16	3	4.45	4.34	1033	
Far_Pla-Su-65	"Faroe Plateau Feb 65-200m"	Summer	61.73	-6.67	18178	8.70	3.17	7.63	1.29	8.33	2.35	197	146.2	21028	45	132.5	40	4	16	3	4.39	4.29	1643	
Far_SW-Su-200	"Faroe SW 200-500m"	Summer	61.67	-7.92	8576	9.00	2.99	5.52	0.42	8.59	2.03	200	35.0	7589	29	350	40	4	17.5	3	4.45	4.18	361	
Guinea-All-5	"Guinea 5-50m"	All	9.75	-14.75	32558	27.30	1.38	22.64	3.41	25.29	2.85	694	82.1	74654	198	27.5	25	3	13	3	4.12	3.80	2280	
Guinea-All-50	"Guinea 50-200m"	All	9.75	-14.75	4783	27.30	1.43	16.99	1.38	22.40	2.54	694	3.7	77090	93	125	25	3	13	3	3.81	3.49	103	
GuLw1_N-Su-200	"Gulf St. Lawrence I 200-520m"	Summer	49.60	-62.35	59533	5.10	13.43	3.81	-0.08	1.75	3.21	324	62.2	8692	51	360	19	5.5	13.4	3	4.02	3.83	2100	
