lat	lon	sst	sstdif	sbt	sbtdif	ult	ultdif	npp	depth	asurv	mesh	vertop	towsp	aswept	density
43.86	15.74	291.051	10.808	286.608	0.732	288.198	4.138	224	232.5	54363	20	2.3	3	30.820	13073
36.75	-3.00	291.450	7.172	286.250	-0.040	288.352	1.608	402	505	8812	20	3.0	3	27.108	5804
36.75	-3.00	291.550	7.571	286.350	-0.039	288.368	1.764	402	115	2247	20	3.0	3	7.690	58514
38.55	0.00	292.250	10.869	286.371	-0.033	288.471	2.987	209	494	5065	20	3.0	3	16.200	7518
38.55	0.00	292.250	11.266	286.819	0.195	289.027	4.090	209	115	5620	20	3.0	3	9.783	40656
45.84	-4.58	287.850	8.176	285.121	0.786	286.328	3.964	520	64	26316	20	4.0	4	36.936	205741
76.98	18.73	274.650	3.143	274.418	0.383	274.498	1.812	117	433	258318	16	7.0	3.4	214.148	4660
49.90	-8.19	286.050	5.999	283.718	0.338	284.646	2.521	317	294.5	141601	20	4.1	4	37.808	70471
64.23	-54.73	274.750	4.963	276.989	-0.294	275.032	1.653	114	950	52602	30	5.0	3	42.276	1934
62.75	-36.75	277.350	1.470	277.833	0.081	277.757	0.717	112	300	56488	30	4.0	4.5	97.814	3286
62.75	-36.75	276.450	1.084	277.432	0.200	276.919	0.510	112	125	17576	30	4.0	4.5	33.489	10369
64.23	-35.75	277.650	2.014	277.100	-0.068	278.008	1.063	112	950	43458	30	5.0	3	34.476	1082
61.67	-5.50	281.850	3.527	278.672	0.442	281.295	2.249	215	350	16393	40	4.0	3	27.451	29712
61.67	-5.50	281.850	3.527	278.672	0.442	281.295	2.249	215	350	16393	40	4.0	3	56.745	36847
61.73	-6.67	281.850	3.171	280.777	1.288	281.477	2.350	197	132.5	18178	40	4.0	3	92.827	13825
61.73	-6.67	281.850	3.171	280.777	1.288	281.477	2.350	197	132.5	18178	40	4.0	3	146.227	21028
61.67	-7.92	282.150	2.992	278.670	0.420	281.738	2.029	200	350	8576	40	4.0	3	35.017	7589
9.75	-14.75	300.450	1.383	295.791	3.415	298.440	2.850	694	27.5	32558	25	3.0	3	82.080	74654
9.75	-14.75	300.450	1.426	290.137	1.378	295.555	2.544	694	125	4783	25	3.0	3	3.708	77090
49.60	-62.35	278.250	13.435	276.961	-0.076	274.904	3.211	324	360	59533	19	5.5	3	62.160	8692
49.60	-62.35	278.250	13.435	276.961	-0.076	274.904	3.211	324	120	36826	19	5.5	3	26.966	31710
49.60	-62.35	278.250	13.435	276.961	-0.076	274.904	3.211	324	360	59533	12.7	4.0	3	24.299	34942
49.60	-62.35	278.250	13.435	276.961	-0.076	274.904	3.211	324	120	36826	12.7	4.0	3	15.769	131367
65.75	-16.63	277.050	4.181	273.676	0.125	276.300	2.083	188	679.75	106038	40	5.5	3.8	118.232	2845
