"survey"	"lon"	"lat"	"Nlt3"	"N3-4"	"N4-5"	"N5-6"	"Nle6"	"sum"	"S2"	"S3"	"S4"	"S5"	"S6"	"rsum"	"a"	"b"	"c"	"d"	"e"
Adriatic	15.74	43.86	11	39	48	15	0	113	10	35	42	13	0	0.74	"#2DFF09"	"#E8DD08"	"#FFA804"	"#E84108"	"#A818FF"
Alboran		-3.00	36.75	17	48	50	10	1	126	13	38	40	8	1	0.78	"#2DFF10"	"#E8DD09"	"#FFA805"	"#E84109"	"#A818FF"
Alicante	0.00	38.55	12	47	53	10	1	123	10	38	43	8	1	0.77	"#2DFF11"	"#E8DD10"	"#FFA806"	"#E84110"	"#A818FF"
B_Biscay	-4.58	45.84	7	33	45	18	2	105	7	31	43	17	2	0.72	"#2DFF12"	"#E8DD11"	"#FFA807"	"#E84111"	"#A818FF"
Bear_Island	18.73	76.98	8	22	14	10	2	56	14	39	25	18	4	0.52	"#2DFF13"	"#E8DD12"	"#FFA808"	"#E84112"	"#A818FF"
Celtic_Sea	-8.19	49.90	8	26	34	18	1	87	9	30	39	21	1	0.65	"#2DFF14"	"#E8DD13"	"#FFA809"	"#E84113"	"#A818FF"
Davis_Strait	-54.73	64.23	2	10	12	7	2	33	6	30	36	21	6	0.40	"#2DFF15"	"#E8DD14"	"#FFA810"	"#E84114"	"#A818FF"
E_Greenland1	-36.75	62.75	5	9	12	8	2	36	14	25	33	22	6	0.42	"#2DFF16"	"#E8DD15"	"#FFA811"	"#E84115"	"#A818FF"
E_Greenland2	-35.75	64.23	4	13	10	10	2	39	10	33	26	26	5	0.44	"#2DFF17"	"#E8DD16"	"#FFA812"	"#E84116"	"#A818FF"
Faroe_Islands	-6.45	61.69	2	5.5	19	12.5	1	40	5	14	48	31	3	0.44	"#2DFF18"	"#E8DD17"	"#FFA813"	"#E84117"	"#A818FF"
Guinea		-14.75	9.75	3	54	59.5	24	3	143.5	2	38	41	17	2	0.84	"#2DFF19"	"#E8DD18"	"#FFA814"	"#E84118"	"#A818FF"
Gulf_St_Law	-62.35	49.60	5.5	19	22	8	1	55.5	10	34	40	14	2	0.52	"#2DFF20"	"#E8DD19"	"#FFA815"	"#E84119"	"#A818FF"
Iceland_NE	-16.94	65.63	1	12	16	11	1	41	2	29	39	27	2	0.45	"#2DFF21"	"#E8DD20"	"#FFA816"	"#E84120"	"#A818FF"
Iceland_SW	-23.13	65.03	2	12	17	11	1	43	5	28	40	26	2	0.46	"#2DFF22"	"#E8DD21"	"#FFA817"	"#E84121"	"#A818FF"
Mauretania	-16.90	18.50	4	69	94	35	3	205	2	34	46	17	1	1.00	"#2DFF23"	"#E8DD22"	"#FFA818"	"#E84122"	"#A818FF"
Morocco		-8.59	32.29	3	33	52	7	0	95	3	35	55	7	0	0.68	"#2DFF24"	"#E8DD23"	"#FFA819"	"#E84123"	"#A818FF"
North_Sea	2.36	56.29	14	32	44.5	21.5	1	113	12	28	39	19	1	0.74	"#2DFF25"	"#E8DD24"	"#FFA820"	"#E84124"	"#A818FF"
N_Spain		-5.74	43.03	10	41	53	17	3	124	8	33	43	14	2	0.78	"#2DFF26"	"#E8DD25"	"#FFA821"	"#E84125"	"#A818FF"
Norw_Coast	22.21	72.41	4	12	15	9	2	42	10	29	36	21	5	0.45	"#2DFF27"	"#E8DD26"	"#FFA822"	"#E84126"	"#A818FF"
Porcupine_B	-13.10	52.48	5	19	24	15	1	64	8	30	38	23	2	0.56	"#2DFF28"	"#E8DD27"	"#FFA823"	"#E84127"	"#A818FF"
Portugal_N	-9.30	40.60	7	36	48	9	2	102	7	35	47	9	2	0.71	"#2DFF29"	"#E8DD28"	"#FFA824"	"#E84128"	"#A818FF"
Portugal_S	-8.24	36.85	8	38	51	11	3	111	7	34	46	10	3	0.74	"#2DFF30"	"#E8DD29"	"#FFA825"	"#E84129"	"#A818FF"
Portugal_SW	-9.46	38.27	8	38	52	13	2	113	7	34	46	12	2	0.74	"#2DFF31"	"#E8DD30"	"#FFA826"	"#E84130"	"#A818FF"
Barents_Sea	38.71	73.24	8	26	19	10	2	65	12	40	29	15	3	0.56	"#2DFF32"	"#E8DD31"	"#FFA827"	"#E84131"	"#A818FF"
Tyrrhenian_Sea	14.26	38.35	12	36	39	10	0	97	12	37	40	10	0	0.69	"#2DFF33"	"#E8DD32"	"#FFA828"	"#E84132"	"#A818FF"
Scotian_Shelf	-62.40	44.17	7	22	23	9	0	61	11	36	38	15	0	0.55	"#2DFF34"	"#E8DD33"	"#FFA829"	"#E84133"	"#A818FF"
Tramontana	2.15	41.00	15	45	62	8	1	131	11	34	47	6	1	0.80	"#2DFF35"	"#E8DD34"	"#FFA830"	"#E84134"	"#A818FF"
W_Greenland	-50.25	62.88	6	17	15	5	1	44	14	39	34	11	2	0.46	"#2DFF36"	"#E8DD35"	"#FFA831"	"#E84135"	"#A818FF"
W_Scotland	-7.66	57.29	10	28	35	17.5	0.5	91	11	31	38	19	1	0.67	"#2DFF37"	"#E8DD36"	"#FFA832"	"#E84136"	"#A818FF"
