"label"	"survey"	"depth"	"asurv"	"mesh"	"vertop"	"horop"	"towsp"	"lat"	"lon"	"npp"	"sst"	"sstdif"	"sbt"	"sbtdif"	"ult"	"ultdif"	"mlgr"	"lml"	"aswept"	"nsp"	"density"	"nhauls"	"band"	"geo"	"catch"	"abundance"
"Adriatic-Su-16"	"Adriatic   16-449m"	232.5	54363	20	2.3	16.5	3	43.9	15.7	223.5	17.9	10.81	13.46	0.73	15.05	4.14	"e1.5"	1.5	31	1	0.0952393348986742	657	"14-20.5"	"Mediterranean"	1.01706	5177.49596309663
"Alboran_Sea-Su-200"	"Alboran Sea  200-810m"	505	8812	20	3	19.4	3	36.8	-3	402	18.3	7.17	13.1	-0.04	15.2	1.61	"e1.5"	1.5	27	1	1.27654316147758	251	"14-20.5"	"Mediterranean"	12.008844	11248.8983389404
"Alboran_Sea-Su-30"	"Alboran Sea   30-200m"	115	2247	20	3	16.4	3	36.8	-3	402	18.4	7.57	13.2	-0.04	15.22	1.76	"e1.5"	1.5	8	3	162.967137823642	169	"14-20.5"	"Mediterranean"	264.0036035	366187.158689724
"Alicante_and_Eivissa-Su-200"	"Alicante & Eivissa  200-788m"	494	5065	20	3	19.5	3	38.6	0	208.6	19.1	10.87	13.22	-0.03	15.32	2.99	"e1.5"	1.5	16	1	0.84029327548948	150	"14-20.5"	"Mediterranean"	5.0058	4256.08544035422
"Alicante_and_Eivissa-Su-30"	"Alicante & Eivissa   30-200m"	115	5620	20	3	16.4	3	38.6	0	208.6	19.1	11.27	13.67	0.2	15.88	4.09	"e1.5"	1.5	10	2	912.60071688672	215	"14-20.5"	"Mediterranean"	1957.9967225	5128816.02890337
"Bay_of_Biscay-Au-28"	"Bay of Biscay   28-100m"	64	26316	20	4	20.5	4	45.8	-4.6	520.3	14.7	8.18	11.97	0.79	13.18	3.96	"e1.5"	1.5	37	0	0	486	"14-20.5"	"NE North Atlantic"	0	0
"Bear_Island-Au-36"	"Bear Island   36-830m"	433	258318	16	7	25	3.4	77	18.7	117.1	1.5	3.14	1.27	0.38	1.35	1.81	"e1.5"	1.5	214	0	0	1576	"<7.5"	"Arctic"	0	0
"Celtic_Sea-Au-65"	"Celtic Sea   65-524m"	294.5	141601	20	4.1	18.7	4	49.9	-8.2	317.1	12.9	6	10.57	0.34	11.5	2.52	"e1.5"	1.5	38	0	0	545	"7.5-14"	"NE North Atlantic"	0	0
"Davis_Strait-Au-400"	"Davis Strait  400-1500m"	950	52602	30	5	28	3	64.2	-54.7	114.1	1.6	4.96	3.84	-0.29	1.88	1.65	"e1.5"	1.5	42	0	0	591	"<7.5"	"Arctic"	0	0
"E_Greenl_GDR-Au-200"	"E Greenland   200-400m"	300	56488	30	4	22	4.5	62.8	-36.8	112.4	4.2	1.47	4.68	0.08	4.61	0.72	"e1.5"	1.5	98	0	0	1069	"<7.5"	"Arctic"	0	0
"E_Greenl_GDR-Au-50"	"E Greenland   50-200m"	125	17576	30	4	22	4.5	62.8	-36.8	112.4	3.3	1.08	4.28	0.2	3.77	0.51	"e1.5"	1.5	33	0	0	366	"<7.5"	"Arctic"	0	0
"E_Greenland-Su-400"	"E Greenland   400-1500m"	950	43458	30	5	28	3	64.2	-35.8	112.4	4.5	2.01	3.95	-0.07	4.86	1.06	"e1.5"	1.5	34	0	0	476	"<7.5"	"Arctic"	0	0
"Far_NE-Au-200"	"Faroe Islands NE Aug  200-500m"	350	16393	40	4	17.5	3	61.7	-5.5	215.3	8.7	3.53	5.52	0.44	8.14	2.25	"e1.5"	1.5	57	0	0	283	"7.5-14"	"NE North Atlantic"	0	0
